"Данило та Павло використовують у спортзалі великі гантелі, а Іван малі.","Данило та Павло використовують у спортзалі великі гантелі, а Іван використовує у спортзалі малі гантелі."
"Я більше п'ю віскі, ніж він горілку.","Я більше п'ю віскі, ніж він п'є горілку."
"Ці квитки на концерт було куплено для нас, а не для вас.","Ці квитки на концерт було куплено для нас, а ці квитки на концерт не було куплено для вас."
"Хочу поїхати за кордон, але не знаю куди.","Хочу поїхати за кордон, але не знаю куди поїхати."
"Там я уперше спробував сало, а ти зрази.","Там я уперше спробував сало, а ти там уперше спробувала зрази."
"На 5-ому каналі прогноз погоди обіцяє трошки дощу, а на 8-ому каналі реальний ураган.","На 5-ому каналі прогноз погоди обіцяє трошки дощу, а на 8-ому каналі прогноз погоди обіцяє реальний ураган."
"Він сумнівається, що колись виграє у лото, але все одно сподівається.","Він сумнівається, що колись виграє у лото, але все одно сподівається колись виграти у лото."
"Подруга завжди рекомендує мені нову музику, але я ще слухаю стару.","Подруга завжди рекомендує мені нову музику, але я ще слухаю стару музику."
"Перший космонавт з Радянського Союза полетів у космос 12 квітня, 1961, а перший з США 5 травня 1961.","Перший космонавт з Радянського Союза полетів у космос 12 квітня, 1961, а перший астронавт з США полетів у космос 5 травня 1961."
"Сьогодні підемо в бар, але мені ще не сказали коли.","Сьогодні підемо в бар, але мені ще не сказали коли підемо в бар."
"Щодня вранці батько їсть пластівці, а ввечері стейк.","Щодня вранці батько їсть пластівці, а щодня ввечері батько їсть стейк."
"На цій плантації вирощують, збирають, і обробляють алое, а на цій тютюн.","На цій плантації вирощують, збирають, і обробляють алое, а на цій плантації вирощують, збирають, і обробляють тютюн."
"Федір часто знайомиться з новими людьми, а Олена рідко.","Федір часто знайомиться з новими людьми, а Олена знайомиться з новими людьми рідко."
"Я не можу бачити без окуларів, а моя дівчина може.","Я не можу бачити без окуларів, а моя дівчина може бачити без окуларів."
"В Америці ми прикрашаемо ялку на Різдво, а в Россії на Новий рік.","В Америці ми прикрашаемо ялку на Різдво, а в Россії прикрашають ялку на Новий рік."
"Григорій мешкає у Львові, а Дмитро у Києві.","Григорій мешкає у Львові, а Дмитро мешкає у Києві."
"У зоопарку моя мати завжди любить дивитися на тюленів, а мій батько на пінгвінів.","У зоопарку моя мати завжди любить дивитися на тюленів, а мій батько завжди любить дивитися на пінгвінів."
"Вони можуть бігати швидше, ніж я.","Вони можуть бігати швидше, ніж я можу бігати."
"Закон в США забороняє володіння наркотиками, не вживання.","Закон в США забороняє володіння наркотиками, закон в США забороняє не вживання наркотиків."
"Я хотів чай з Китаю, не з Індії.","Я хотів чай з Китаю, я не хотів чай з Індії."
"Іван грає у футбол щодня, а я раз на місяць.","Іван грає у футбол щодня, а я граю у футбол раз на місяць."
"Лідія переїде в Харків, а ії сестра в Одесу.","Лідія переїде в Харків, а ії сестра переїде в Одесу."
"Він відремонтував моє авто, але я не розумію як.","Він відремонтував моє авто, але я не розумію як він відремонтував моє авто."
"Учора тут падав дощ, а не сніг.","Учора тут падав дощ, а учора тут падав не сніг."
"Ми поїдемо до парку машиною, а вони велосипедом.","Ми поїдемо до парку машиною, а вони поїдуть велосипедом."
"Добрі студенти завжди роблять домашне завдання, а погані студенти ніколи.","Добрі студенти завжди роблять домашне завдання, а погані студенти ніколи не роблять домашне завдання."
"Вона вбила його, але чим не знаємо.","Вона вбила його, але чим вона вбила його не знаємо."
"Вона мене не любить, а я ії.","Вона мене не любить, а я ії не люблю."
"Я не вмію танцювати, а мій брат плавати.","Я не вмію танцювати, а мій брат не вміє плавати."
"Він завжди замовляє холодні страви, а вона гарячі.","Він завжди замовляє холодні страви, а вона завжди замовляє гарячі страви."
"Лідія каже, що Іван видалив файли випадково, а Марія каже, що навмисно.","Лідія каже, що Іван видалив файли випадково, а Марія каже, що Іван видалив файли навмисно."
"Я вмію керувати човном, але не літаком.","Я вмію керувати човном, але не вмію керувати літаком."
"Мені подобається ця пісня, але не знаю чому.","Мені подобається ця пісня, але не знаю чому мені подобається ця пісня."
Батькові.,Батькові вони купили цю машину.
"Я волію слухати його старі пісні, а не нові.","Я волію слухати його старі пісні, а я не волію слухати його нові пісні."
"Він добре розуміє математику, й біологію також.","Він добре розуміє математику, й він добре розуміє біологію також."
"Я поставив йому три питання, і тобі теж.","Я поставив йому три питання, і я поставив тобі три питання теж."
"Чоловік описує якесь місто, але нам неясно, яке.","Чоловік описує якесь місто, але нам неясно, яке місто чоловік описує."
"Там я уперше спробував сало, й ти теж.","Там я уперше спробував сало, й ти там уперше спробувала сало теж."
"У дитинстві я грав у баскетбол, а мій приятель у бейсбол.","У дитинстві я грав у баскетбол, а у дитинстві мій приятель грав у бейсбол."
"Щороку я перечитуваю ""Володара перснів"", а моя сестра ""Гобіта"".","Щороку я перечитуваю ""Володара перснів"", а моя сестра перечитуває ""Гобіта""."
"Я волію їсти зрази з яловичини, а ти з свинини.","Я волію їсти зрази з яловичини, а ти волієш їсти зрази з свинини."
"Іван щодня грає у футбол, і я теж.","Іван щодня грає у футбол, і я теж щодня граю у футбол."
"Перша людина з Радянського Союза полетіла у космос 12 квітня, 1961, а перша з США 5 травня 1961.","Перша людина з Радянського Союза полетіла у космос 12 квітня, 1961, а перша людина з США полетіла у космос 5 травня 1961."
"Він має уродини у червні, а вона у жовтні.","Він має уродини у червні, а вона має уродини у жовтні."
"Я сьогодні розмовляю голосніше, ніж Іван учора.","Я сьогодні розмовляю голосніше, ніж Іван розмовляв учора."
"Там я уперше спробував сало, й ти теж.","Там я уперше спробував сало, й ти там уперше спробував сало теж."
"Ми хочемо піти на екскурсію до музею, а ви до театру.","Ми хочемо піти на екскурсію до музею, а ви хочете піти на екскурсію до театру."
"Ми прийшли сюди тому, що ми хотіли.","Ми прийшли сюди тому, що ми хотіли прийти сюди."
"Чи не можеш відповісти, чи просто просто не хочеш?","Чи не можеш відповісти, чи просто просто не хочеш відповісти?"
"Я спочатку приправлю суп паприкою, а потім чорним перцем.","Я спочатку приправлю суп паприкою, а потім я приправлю суп чорним перцем."
"Незнайомий дав мені подарунок, але не знаю за що.","Незнайомий дав мені подарунок, але не знаю за що він дав мені подарунок."
"Моя мати хоче новий комп'ютер, але ще не знає, якого бренду.","Моя мати хоче новий комп'ютер, але моя мати ще не знає, якого бренду моя мати хоче комп'ютер."
"Офіцери носять кашкети, а солдати прості пілотки.","Офіцери носять кашкети, а солдати носять прості пілотки."
"Кордон Фінландії з Росією довгий, з Норвегією короткий, а з Швецією - десь посередині.","Кордон Фінландії з Росією довгий, кордон Фінландії з Норвегією короткий, а кордон Фінландії з Швецією - десь посередині."
"Я підготую матеріали на понеділок, а ти на вівторок.","Я підготую матеріали на понеділок, а ти підготуєш матеріали на вівторок."
"США офіційно проголосили незалежність від Велико-Британії у 1783 році, а Україна від Радянського Союза у 1991 році.","США офіційно проголосили незалежність від Велико-Британії у 1783 році, а Україна офіційно проголосила від Радянського Союза у 1991 році."
"Розмоляю українською, але не дуже добре.","Розмоляю українською, але не дуже добре розмоляю українською."
"Я зробив канапку учора вранці, й потім ще раз ввечері.","Я зробив канапку учора вранці, й потім ще раз я зробив канапку ввечері."
"Моя дружина завжди приймає душ вранці, а я ввечері.","Моя дружина завжди приймає душ вранці, а я завжди приймаю душ ввечері."
"Сорочка мені трошки завелика, а штани замалі.","Сорочка мені трошки завелика, а штани мені трошки замалі."
"Я його люблю, але не так сильно.","Я його люблю, але я його люблю не так сильно."
"Це речення вважається в англійській мові неправильним, але в українській правильним.","Це речення вважається в англійській мові неправильним, але це речення вважається в українській мові правильним."
"Як тільки він поверне мою книгу сьогодні, то мені байдуже о котрій годині.","Як тільки він поверне мою книгу сьогодні, то мені байдуже о котрій годині він поверне мою книгу."
Вона вважає його доброю людиною і він ії.,Вона вважає його доброю людиною і він вважає ії доброю людиною.
"Краще втратити цілий день, ніж цілий тиждень.","Краще втратити цілий день, ніж втратити цілий тиждень."
"Я люблю пиво, а ти вино.","Я люблю пиво, а ти любиш вино."
"Батько не їсть зелену цібулю, тільки червону.","Батько не їсть зелену цібулю, батько їсть тільки червону цібулю."
"Я розмовляю голосніше англійскою, ніж українською.","Я розмовляю голосніше англійскою, ніж я розмовляю українською."
Багато?,Багато п'ють німци пиво?
"Моя дівчина завжди хоче ходити в кіно, а я николі не хочу.","Моя дівчина завжди хоче ходити в кіно, а я николі не хочу ходити в кіно."
"Максимові подобається чай, а Галині кава.","Максимові подобається чай, а Галині подобається кава."
Мої батьки мешкають у Чернігові і сестра теж.,Мої батьки мешкають у Чернігові і сестра теж мешкає у Чернігові.
"Павло грає на скрипці, Данило на віолончелі а Петро роялі.","Павло грає на скрипці, Данило грає на віолончелі а Петро грає роялі."
"Я сьогодні розмовляю голосніше, ніж учора.","Я сьогодні розмовляю голосніше, ніж я розмовляв учора."
"Моя дочка хоче стати не просто простою бізнесменкою, а найбагатшою у світі.","Моя дочка хоче стати не просто простою бізнесменкою, а моя дочка хоче стати найбагатшою бізнесменкою у світі."
"Я поставив йому три питання, і ти теж.","Я поставив йому три питання, і ти теж поставив йому три питання."
"Я не їм стільки, як він.","Я не їм стільки, як він їсть."
Я ненавиджу Марка і тебе теж.,Я ненавиджу Марка і тебе теж ненавиджу.
"Вони купили надувний замок, але не ясно кому.","Вони купили надувний замок, але не ясно кому вони купили надувний замок."
"Моя мати працює не тільки вдень, а і ввечері.","Моя мати працює не тільки вдень, а і працює ввечері."
"Вони сміються, але не знаємо над ким.","Вони сміються, але не знаємо над ким вони сміються."
"Іра не така модна, як Юля.","Іра не така модна, як Юля модна."
"Мені учора щось снилося, але не памятаю що.","Мені учора щось снилося, але не памятаю що мені снилося."
"Ніколи не хочу користуватися духовкою, тому що важко.","Ніколи не хочу користуватися духовкою, тому що користуватися духовкою важко."
"У понеділок ми читали першу частину роману, а у вівторок другу.","У понеділок ми читали першу частину роману, а у вівторок ми читали другу частину роману."
"Мій брат думає, що краще полювати з луком, ніж з гвинтівкою.","Мій брат думає, що краще полювати з луком, ніж полювати з гвинтівкою."
"Я приготував питання не тільки до Радослава, але й до Яни.","Я приготував питання не тільки до Радослава, але й я приготував питання до Яни."
"Віра й Олена читають газету, а Борис книгу.","Віра й Олена читають газету, а Борис читає книгу."
"На Різдво моя сестра готує вареники з картоплею, а я з м'ясом.","На Різдво моя сестра готує вареники з картоплею, а на Різдво я готую вареники з м'ясом."
"Іван пише книгу, а Микола музику.","Іван пише книгу, а Микола пише музику."
"Я не хотів, але учора ми ходили в кіно.","Я не хотів ходити в кіно, але учора ми ходили в кіно."
"Я не вмію готувати так добре, як ти.","Я не вмію готувати так добре, як ти вмієш готувати."
Я ненавиджу Марка і ти теж.,Я ненавиджу Марка і ти теж ненавиджиш Марка.
"Його вбили, але не знаю чому.","Його вбили, але не знаю чому його вбили."
"Я збираюся купити машину, а ти продати.","Я збираюся купити машину, а ти збираєшся продати машину."
"Я в'їхав велосипедом у машину не два рази, а три.","Я в'їхав велосипедом у машину не два рази, а я в'їхав велосипедом у машину три рази."
"В Україні зараз борються з ворогами, а зараз в Америці одне з одним.","В Україні зараз борються з ворогами, а зараз в Америці борються одне з одним."
"Мені подобаються майже всі страви з цього індійського ресторану, а моїй дівчині тільки одна.","Мені подобаються майже всі страви з цього індійського ресторану, а моїй дівчині подобається тільки одна страва з цього індійського ресторану."
"Максимові подобається шоколад, а Галині цукерки.","Максимові подобається шоколад, а Галині подобаються цукерки."
"Я приготував питання не тільки Радославу, але й Яні.","Я приготував питання не тільки Радославу, але й я приготував питання Яні."
"Він має уродини у червні, і вона теж.","Він має уродини у червні, і вона теж має уродини у червні."
"Вона знає більше про свою країну, ніж він.","Вона знає більше про свою країну, ніж він знає про свою країну."
"Я добре розумію математику, але не біологію.","Я добре розумію математику, але я не добре розумію біологію."
"У дитинстві я їв багато морозива, але зараз мало.","У дитинстві я їв багато морозива, але зараз я їм мало морозива."
"У зоопарку я люблю дивитися на слонів, і мої сестри теж.","У зоопарку я люблю дивитися на слонів, і мої сестри теж люблять дивитися на слонів."
"У 1950-ому році у Детройті мешкало понад 1,8 мільйона осіб, а вже у 2000-ому році менше мільйона.","У 1950-ому році у Детройті мешкало понад 1,8 мільйона осіб, а вже у 2000-ому році у Детройті мешкало менше мільйона."
"Щодня вранці батько їсть пластівці, і ввечері також.","Щодня вранці батько їсть пластівці, і щодня ввечері батько їсть пластівці також."
"Я розмовляю голосніше, ніж Іван.","Я розмовляю голосніше, ніж Іван розмовляє."
"Вони прийшли до мене не у середу, а у четверг.","Вони прийшли до мене не у середу, а вони прийшли до мене у четверг."
"Вони зараз розмовляють українською мовою, не російською.","Вони зараз розмовляють українською мовою, вони зараз не розмовляють російською."
"Мені треба прибрати кімнату для гостей сьогодні, а тобі завтра.","Мені треба прибрати кімнату для гостей сьогодні, а тобі треба прибрати кімнату для гостей завтра."
"Вона встала й вийшла, але ії чоловік не знав чому.","Вона встала й вийшла, але ії чоловік не знав чому вона встала й вийшла."
"Мої друзі поїдуть туда літаком, а я машиною.","Мої друзі поїдуть туда літаком, а я поїду машиною."
"Я приправлю суп паприкою, а ти чорним перцем.","Я приправлю суп паприкою, а ти приправиш чорним перцем."
"Хоч ми хотіли порушити закон, ми не наважилися.","Хоч ми хотіли порушити закон, ми не наважилися порушити закон."
"Демократи голосують за законопроєкт, а республиканці проти.","Демократи голосують за законопроєкт, а республиканці голосують проти законопроєкту."
"Ми вчимося мовам, а наші друзі бізнесу.","Ми вчимося мовам, а наші друзі вчаться бізнесу."
"Коти бавляться малими іграшками, а пси великими.","Коти бавляться малими іграшками, а пси бавляться великими іграшками."
Чому?,Чому Іван стрибнув у криницю?
"Чоловік описує якесь місто, але нам незрозуміло, яке.","Чоловік описує якесь місто, але нам незрозуміло, яке місто чоловік описує."
"Я поставив йому три питання, а їй тільки два.","Я поставив йому три питання, а я поставив їй тільки два питання."
"Іван посміхається, і Михайло знає чому?","Іван посміхається, і Михайло знає чому Іван посміхається?"
"Він говорить з чужим акцентом, але ми не знаємо чому.","Він говорить з чужим акцентом, але ми не знаємо чому він говорить з чужим акцентом."
"Я зробив одну канапку уранці, й потім ще одну увечері.","Я зробив одну канапку уранці, й потім ще одну канапку зробив я увечері."
"Він сумнівається, що колись виграє у лото, але все одно сподівається.","Він сумнівається, що колись виграє у лото, але все одно сподівається, що колись виграє у лото."
"Я хотів кращу шапку, не цю.","Я хотів кращу шапку, я не хотів цю шапку."
"Я їм більше фруктів, ніж Михайло.","Я їм більше фруктів, ніж Михайло їсть фрукти."
"Вони ненавидять наш дім, але люблять свій.","Вони ненавидять наш дім, але вони люблять свій дім."
Кожен рік він випадково розбиває чашку і його мати теж.,Кожен рік він випадково розбиває чашку і його мати теж кожен рік випадково розбиває чашку.
"Я розбив чашку, а сестра тарілку.","Я розбив чашку, а сестра розбила тарілку."
"Жуков вів свою армію на Берлін з півночі, а Конєв з півдня.","Жуков вів свою армію на Берлін з півночі, а Конєв вів свою армію на Берлін з півдня."
"Він придумав мелодію песни, а вона текст.","Він придумав мелодію песни, а вона придумав текст песни."
"Журавлі літають швидше, ніж голуби.","Журавлі літають швидше, ніж голуби літають."
"Вона вмерла у 1975, а ії чоловік на рік пізніше у 1976.","Вона вмерла у 1975, а ії чоловік вмер на рік пізніше у 1976."
"До піци я завжди додаю цібулю, а моя дівчина перець.","До піци я завжди додаю цібулю, а моя дівчина завжди додає перець."
"Я поставив йому три питання, і ти теж.","Я поставив йому три питання, і ти теж поставила йому три питання."
"Іван щодня грає у футбол, а я в теніс.","Іван щодня грає у футбол, а я щодня граю в теніс."
"Я про все шкодую, а батько ні про що.","Я про все шкодую, а батько ні про що не шкодує."
"Щось купили на ринку, але ще не сказали що.","Щось купили на ринку, але ще не сказали що купили."
"Я їм більше фруктів, ніж овочів.","Я їм більше фруктів, ніж я їм овочів."
"Я був на канікулах у Франції, сестра в Ірландії, а мої батьки у Швеції.","Я був на канікулах у Франції, сестра була на канікулах в Ірландії, а мої батьки були на канікулах у Швеції."
"Я не готую так добре, як ти.","Я не готую так добре, як ти готуєш."
