"Вони зараз розмовляють українською мовою, не російською.","Вони зараз розмовляють українською мовою, вони зараз не розмовляють російською."
"Я був на канікулах у Франції, сестра в Ірландії, а мої батьки у Швеції.","Я був на канікулах у Франції, сестра була на канікулах в Ірландії, а мої батьки були на канікулах у Швеції."
"Максимові подобається шоколад, а Галині цукерки.","Максимові подобається шоколад, а Галині подобаються цукерки."
"Вони запрошували мене піти на озеро, але я не мав часу.","Вони запрошували мене піти на озеро, але я не мав часу піти на озеро."
"Він добре готує суп з м'ясом, а вона без мяса.","Він добре готує суп з м'ясом, а вона добре готує суп без мяса."
"На Різдво моя сестра готує вареники з картоплею, а я з м'ясом.","На Різдво моя сестра готує вареники з картоплею, а на Різдво я готую вареники з м'ясом."
"Я приготував питання не тільки до Радослава, але й до Яни.","Я приготував питання не тільки до Радослава, але й я приготував питання до Яни."
"Мені подобаються майже всі страви з цього індійського ресторану, і моїй дівчині теж.","Мені подобаються майже всі страви з цього індійського ресторану, і моїй дівчині теж подобаються майже всі страви з цього індійського ресторану."
"Завтра я принесу лід, а ти пиво.","Завтра я принесу лід, а ти принесеш пиво."
"Сорочка мені трошки завелика, а штани замалі.","Сорочка мені трошки завелика, а штани мені трошки замалі."
"Мені учора щось снилося, але не памятаю що.","Мені учора щось снилося, але не памятаю що мені снилося."
"Вони можуть бігати швидше, ніж я.","Вони можуть бігати швидше, ніж я можу бігати."
"В Україні зараз борються з ворогами, а зараз в Америці одне з одним.","В Україні зараз борються з ворогами, а зараз в Америці борються одне з одним."
"Щось купили на ринку, але ще не сказали що.","Щось купили на ринку, але ще не сказали що купили."
"Вони ненавидять наш дім, але люблять свій.","Вони ненавидять наш дім, але вони люблять свій дім."
"Данило та Павло використовують у спортзалі великі гантелі, а Іван малі.","Данило та Павло використовують у спортзалі великі гантелі, а Іван використовує у спортзалі малі гантелі."
"Він має уродини у червні, і вона теж.","Він має уродини у червні, і вона теж має уродини у червні."
"Вона вбила його, але чим не знаємо.","Вона вбила його, але чим вона вбила його не знаємо."
"Я не готую так добре, як ти.","Я не готую так добре, як ти готуєш."
"У зоопарку моя мати завжди любить дивитися на тюленів, а мій батько на пінгвінів.","У зоопарку моя мати завжди любить дивитися на тюленів, а мій батько завжди любить дивитися на пінгвінів."
"Максимові подобається чай, а Галині кава.","Максимові подобається чай, а Галині подобається кава."
"Я сьогодні розмовляю голосніше, ніж Іван учора.","Я сьогодні розмовляю голосніше, ніж Іван розмовляв учора."
"Журавлі літають швидше, ніж голуби.","Журавлі літають швидше, ніж голуби літають."
Мої батьки мешкають у Чернігові і сестра теж.,Мої батьки мешкають у Чернігові і сестра теж мешкає у Чернігові.
"Він сумнівається, що колись виграє у лото, але все одно сподівається.","Він сумнівається, що колись виграє у лото, але все одно сподівається, що колись виграє у лото."
"Мій брат думає, що краще полювати з луком, ніж з гвинтівкою.","Мій брат думає, що краще полювати з луком, ніж полювати з гвинтівкою."
"Батько не їсть зелену цібулю, тільки червону.","Батько не їсть зелену цібулю, батько їсть тільки червону цібулю."
"Закон в США забороняє володіння наркотиками, не вживання.","Закон в США забороняє володіння наркотиками, закон в США забороняє не вживання наркотиків."
