sentence,label
"Моя дівчина завжди хоче ходити в кіно, а я николі не хочу ходити в кіно.",0
"Ми вчимося мовам, а наші друзі вчаться бізнесу.",0
Кожен рік він випадково розбиває чашку і його мати теж кожен рік випадково розбиває чашку.,0
"Журавлі літають швидше, ніж голуби.",0
"Незнайомий дав мені подарунок, але не знаю за що.",1
"Я не вмію готувати так добре, як ти.",1
"Іван посміхається, і Михайло знає чому?",0
"Я поставив йому три питання, а їй тільки два.",1
"Вона мене не любить, а я ії не люблю.",1
"Вона встала й вийшла, але ії чоловік не знав чому вона встала й вийшла.",1
"Я приправлю суп паприкою, а ти приправиш чорним перцем.",0
"Я не вмію танцювати танґо, але я хочу навчитися танцювати танґо.",0
"Офіцери носять кашкети, а солдати прості пілотки.",1
"Я був на канікулах у Франції, сестра в Ірландії, а мої батьки у Швеції.",1
"Щось купили на ринку, але ще не сказали що.",1
"Я їм більше фруктів, ніж я їм овочів.",0
"Там я уперше спробував сало, а ти там уперше спробувала зрази.",1
"Ми хочемо піти на екскурсію до музею, а ви хочете піти на екскурсію до театру.",0
"Павло грає на скрипці, Данило на віолончелі а Петро роялі.",1
"Перший космонавт з Радянського Союза полетів у космос 12 квітня, 1961, а перший астронавт з США полетів у космос 5 травня 1961.",1
"Мені подобаються майже всі страви з цього індійського ресторану, а моїй дівчині подобається тільки одна страва з цього індійського ресторану.",0
"Вони сміються, але не знаємо над ким вони сміються.",1
"Ми дуже хочемо подорожувати Україною, але зараз не можемо подорожувати Україною.",0
"Він сумнівається, що колись виграє у лото, але все одно сподівається.",0
"У зоопарку я люблю дивитися на слонів, і мої сестри теж люблять дивитися на слонів.",0
"Моя мати хоче новий комп'ютер, але ще не знає, якого бренду.",1
"Я не їм стільки, як він їсть.",0
"Щороку я перечитуваю ""Володара перснів"", а моя сестра перечитуває ""Гобіта"".",0
"Мої друзі поїдуть туда літаком, а я поїду машиною.",1
"Він сумнівається, що колись виграє у лото, але все одно сподівається, що колись виграє у лото.",0
"Вони ненавидять наш дім, але люблять свій.",1
Багато?,1
"Це речення вважається в англійській мові неправильним, але це речення вважається в українській мові правильним.",0
"Григорій мешкає у Львові, а Дмитро мешкає у Києві.",0
"По понеділкам я ходжу з лекції до магазину вранці, а по п'ятницям ввечері.",1
"Павло грає на скрипці, Данило грає на віолончелі а Петро грає роялі.",1
"Вона вмерла у 1975, а ії чоловік вмер на рік пізніше у 1976.",1
"Данило та Павло використовують у спортзалі великі гантелі, а Іван використовує у спортзалі малі гантелі.",0
"Максимові подобається шоколад, а Галині цукерки.",1
"Мені подобаються майже всі страви з цього індійського ресторану, і моїй дівчині теж подобаються майже всі страви з цього індійського ресторану.",0
"Мені учора щось снилося, але не памятаю що мені снилося.",1
"Я його люблю, але я його люблю не так сильно.",0
"Завтра я принесу лід, а ти принесеш пиво.",1
"Офіцери носять кашкети, а солдати носять прості пілотки.",0
"Моя мати хоче новий комп'ютер, але моя мати ще не знає, якого бренду моя мати хоче комп'ютер.",0
"Вона встала й вийшла, але ії чоловік не знав чому.",1
"Я зробив одну канапку уранці, й потім ще одну увечері.",0
"Я хотів чай з Китаю, я не хотів чай з Індії.",0
"Я хотів кращу шапку, не цю.",1
